ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
,New York City,Apps,1,8,3,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,3,2016
,New York City,Intro,1,10,3,2016
,New York City,Intro,1,10,3,2016
,New York City,Intro,1,10,4,2016
,New York City,Intro,1,10,4,2016
,New York City,Games,1,10,3,2016
,New York City,Games,1,10,3,2016
,New York City,Games,1,10,4,2016
,New York City,Apps,1,10,3,2016
,New York City,Apps,1,10,4,2016
,New York City,Apps,1,10,3,2016
,New York City,Apps,1,10,3,2016
,New York City,Apps,1,10,4,2016
,New York City,Apps,1,10,4,2016
,New York City,Apps,1,10,3,2016
,New York City,Apps,1,10,3,2016
,New York City,Apps,1,10,4,2016
,New York City,Apps,1,10,3,2016
,San Francisco,Apps,1,6,2,2016
,San Francisco,Apps,1,6,3,2016
,San Francisco,Apps,1,6,4,2016
,San Francisco,Apps,1,6,5,2016
,San Francisco,Apps,1,8,2,2016
,San Francisco,Apps,1,8,2,2016
,San Francisco,Apps,1,8,2,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,3,2016
,San Francisco,Apps,1,8,4,2016
,San Francisco,Apps,1,8,4,2016
,San Francisco,Apps,1,8,4,2016
,San Francisco,Apps,1,8,4,2016
,San Francisco,Apps,1,8,4,2016
,San Francisco,Apps,1,8,5,2016
,San Francisco,Apps,1,8,5,2016
,San Francisco,Apps,1,8,2,2016
,San Francisco,Apps,1,10,2,2016
,San Francisco,Apps,1,10,2,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,4,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Apps,1,10,3,2016
,San Francisco,Games,1,8,3,2016
,San Francisco,Games,1,8,3,2016
,San Francisco,Games,1,8,4,2016
,San Francisco,Games,1,10,3,2016
,San Francisco,Games,1,10,3,2016
,San Francisco,Games,1,10,3,2016
,San Francisco,Games,1,10,3,2016
,San Francisco,Games,1,10,3,2016
,San Francisco,Games,1,10,4,2016
,San Francisco,Games,1,10,4,2016
,San Francisco,Intro,1,6,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,3,2016
,San Francisco,Intro,1,8,4,2016
,San Francisco,Intro,1,8,4,2016
,San Francisco,Intro,1,8,4,2016
,San Francisco,Intro,1,10,2,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,Intro,1,10,4,2016
,San Francisco,Intro,1,10,4,2016
,San Francisco,Intro,1,10,5,2016
,San Francisco,Intro,1,10,5,2016
,San Francisco,Intro,1,10,3,2016
,San Francisco,VR,1,6,3,2016
,San Francisco,VR,1,10,3,2016
,San Francisco,VR,1,10,3,2016
,San Francisco,VR,1,10,3,2016
,Singapore,,1,4,3,2016
,Singapore,,1,4,3,2016
,Singapore,,1,6,3,2016
,Singapore,,1,8,4,2016
,Singapore,,1,8,4,2016
,Singapore,,1,8,4,2016
,Singapore,,1,8,3,2016
,Singapore,,1,8,3,2016
,Singapore,,1,8,4,2016
,Singapore,,1,8,3,2016
,Singapore,,1,8,3,2016
,Singapore,,1,10,5,2016
,Sunnyvale,Games,1,4,4,2016
,Sunnyvale,Apps,1,6,4,2016
,Sunnyvale,Apps,1,6,3,2016
,Sunnyvale,Apps,1,6,5,2016
,Sunnyvale,Apps,1,6,3,2016
,Sunnyvale,Games,1,6,3,2016
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,4,2016
,Sunnyvale,Apps,1,8,3,2016
,Sunnyvale,Apps,1,8,4,2016
